account_id,opportunity_name,close_date,stage,amount,lead_source,description,probability,created_date,owner_name,account_name,duns_number
1,sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis,2/19/2022,Closed Lost,Dinar,Purchased List,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",15.99,2022-08-29T03:29:56Z,Chance Arnoult,Eamia,46-532-2344
2,posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,12/22/2022,Closed Lost,Euro,Referral,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.

Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",72.6,2022-07-21T22:22:33Z,Urson MacCollom,Trilith,59-893-5057
3,pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum,12/7/2022,Closed Won,Tugrik,Partner,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",25.28,2022-12-22T13:00:00Z,Alisa D'Oyly,Yambee,42-869-7380
4,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla,2/14/2022,Closed Won,Rial,Referral,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.

Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",50.47,2022-10-22T10:27:12Z,Katrine Harwick,Oyope,51-210-8577
5,nulla ut erat id mauris vulputate elementum nullam varius nulla,3/29/2022,Closed Lost,Yuan Renminbi,Referral,"In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.

Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.",4.68,2022-09-10T02:14:46Z,Allyn Rysom,Npath,87-140-6871
6,convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,9/30/2022,Closed Lost,Yuan Renminbi,Web,"Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.

Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",72.12,2022-06-08T02:39:26Z,Martyn Mateus,Riffpath,68-750-1320
7,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,4/18/2022,Closed Won,Yuan Renminbi,Web,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,93.05,2022-09-29T00:30:56Z,Nicolette Craigs,Tazz,26-653-7998
8,sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,12/20/2022,Closed Lost,Ruble,Partner,Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,60.76,2022-09-24T05:29:03Z,Ilka Ellsbury,Twitterbeat,69-572-4290
9,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum,11/23/2022,Closed Lost,Peso,Purchased List,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",82.75,2022-05-01T04:19:32Z,Lotty Daintry,Gabcube,91-203-1928
10,mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,8/25/2022,Closed Won,Rupiah,Partner,"Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.

Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",49.39,2022-03-04T18:25:44Z,Kenna Pattle,Quinu,32-327-2982
11,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,7/3/2022,Closed Lost,Shekel,Web,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.

Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.",75.57,2022-11-29T14:28:43Z,Carleton Swapp,Dabfeed,32-985-7214
12,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,2/18/2022,Closed Lost,Yuan Renminbi,Purchased List,"Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.

Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.

Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",49.57,2022-12-12T15:26:01Z,Bunny Piquard,Trupe,07-643-7061
13,vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,3/19/2022,Closed Lost,Euro,Web,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",12.87,2022-06-28T04:31:55Z,Maurise Schreiner,Quimm,31-738-1979
14,posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor,5/9/2022,Closed Lost,Dollar,Referral,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",80.08,2022-12-05T03:03:40Z,Ceil Whitsey,Kwideo,76-509-9356
15,sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,10/9/2022,Closed Won,Real,Partner,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.

Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",91.2,2022-04-26T21:17:36Z,Gayleen Hales,Shuffledrive,05-867-4768
16,justo etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,11/27/2022,Closed Lost,Rupiah,Purchased List,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",16.65,2022-02-27T15:23:54Z,Corenda Moncaster,Youspan,59-751-0524
17,sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla,6/16/2022,Closed Lost,Rupiah,Referral,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",46.84,2022-12-09T21:10:24Z,Gabbie Jenne,Vipe,98-742-5999
18,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,7/12/2022,Closed Won,Koruna,Partner,"Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.

Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.

Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",83.62,2022-12-25T03:08:43Z,Edd Zuan,Ntag,93-845-3014
19,vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,2/16/2022,Closed Won,Koruna,Purchased List,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,28.1,2022-03-02T00:11:05Z,Jaclyn Lynock,Tavu,60-393-0179
20,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,2/3/2022,Closed Won,Euro,Purchased List,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.

Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.

In congue. Etiam justo. Etiam pretium iaculis justo.",55.98,2022-06-03T18:00:34Z,Ferd Hendrich,Yodel,45-105-4443
21,in faucibus orci luctus et ultrices posuere cubilia curae duis,4/16/2022,Closed Lost,Ruble,Web,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",41.57,2022-03-09T15:20:29Z,Uriah Clubley,Kazio,51-151-8603
22,risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,9/18/2022,Closed Lost,Dollar,Purchased List,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.

Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.",47.03,2022-05-26T09:10:59Z,Keary Sparks,Buzzshare,83-251-5905
23,dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia,2/22/2022,Closed Lost,Peso,Purchased List,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",93.48,2022-06-14T15:31:21Z,Halli Danis,Quatz,08-699-5770
24,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,4/29/2022,Closed Lost,Peso,Purchased List,"Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.

Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.

Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",21.52,2022-05-12T09:31:33Z,Raven Ledward,Brightbean,63-133-8788
25,enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id,6/4/2022,Closed Won,Yuan Renminbi,Partner,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",9.98,2022-07-28T21:31:34Z,Zara Bernucci,Meejo,00-498-2951
26,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,9/26/2022,Closed Won,Balboa,Web,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.

Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.",10.85,2022-12-05T22:20:57Z,Joann Lefridge,Yambee,81-114-0057
27,odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,6/11/2022,Closed Lost,Rupiah,Purchased List,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.

Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.",9.46,2022-07-26T23:40:41Z,Cornelius Boundy,Feedfire,35-435-4455
28,porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac,4/30/2022,Closed Won,Peso,Referral,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",27.03,2022-06-26T01:33:45Z,Marika Chung,Wordpedia,99-683-6598
29,lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,8/22/2022,Closed Won,Bolivar,Partner,"Sed ante. Vivamus tortor. Duis mattis egestas metus.

Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.

Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",92.84,2022-05-23T14:04:20Z,Garik Blundon,Meetz,68-100-6978
30,phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,9/26/2022,Closed Lost,Euro,Purchased List,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",52.45,2022-08-22T10:35:43Z,Krispin Gallahue,Demimbu,37-667-9379
31,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,3/29/2022,Closed Lost,Euro,Referral,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,97.92,2022-03-12T07:57:37Z,Leese Cabane,Jabbersphere,87-777-3000
